month,hour,block_value
10,16:00:00,57.94
10,17:00:00,66.52
10,18:00:00,141.3
10,19:00:00,81.01
10,20:00:00,48.06
10,21:00:00,44.57
10,22:00:00,44.4
10,23:00:00,40.56
11,00:00:00,34.0
11,01:00:00,33.73
11,02:00:00,32.59
11,03:00:00,33.98
11,04:00:00,35.63
11,05:00:00,42.25
11,06:00:00,48.82
11,07:00:00,51.93
11,08:00:00,42.31
11,09:00:00,44.13
11,10:00:00,39.85
11,11:00:00,36.76
11,12:00:00,35.11
11,13:00:00,32.84
11,14:00:00,32.58
11,15:00:00,34.07
11,16:00:00,45.17
11,17:00:00,81.29
11,18:00:00,55.98
11,19:00:00,34.26
11,20:00:00,39.56
11,21:00:00,35.81
11,22:00:00,35.08
11,23:00:00,36.75
12,00:00:00,34.48
12,01:00:00,30.55
12,02:00:00,30.26
12,03:00:00,34.85
12,04:00:00,34.81
12,05:00:00,67.07
12,06:00:00,148.21
12,07:00:00,147.43
12,08:00:00,65.87
12,09:00:00,34.91
12,10:00:00,31.63
12,11:00:00,29.04
12,12:00:00,27.3
12,13:00:00,26.59
12,14:00:00,25.98
12,15:00:00,25.62
12,16:00:00,37.01
12,17:00:00,93.24
12,18:00:00,65.02
12,19:00:00,77.32
12,20:00:00,77.3
12,21:00:00,53.59
12,22:00:00,44.58
12,23:00:00,35.94
